Image,Predicted_Label,Confidence(%)
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_1.tif,Canon120-2,51.223148345947266
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_10.tif,Canon120-2,48.98356628417969
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_100.tif,Canon120-2,59.174598693847656
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_101.tif,Canon120-1,50.805992126464844
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_102.tif,Canon120-1,62.68611526489258
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_103.tif,Canon120-2,65.81171417236328
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_104.tif,Canon120-1,57.44361877441406
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_105.tif,Canon120-2,57.56890106201172
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_106.tif,Canon120-1,53.726715087890625
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_107.tif,Canon120-1,52.856285095214844
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_108.tif,Canon120-2,52.17494201660156
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_11.tif,Canon120-1,72.5655288696289
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_12.tif,Canon120-2,51.33993148803711
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_13.tif,Canon120-2,52.9892578125
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_14.tif,Canon120-2,67.0185546875
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_15.tif,Canon220,73.94954681396484
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_16.tif,Canon120-1,41.968505859375
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_17.tif,Canon120-2,60.46974182128906
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_18.tif,Canon120-1,56.20488357543945
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_19.tif,EpsonV370-2,99.22559356689453
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_2.tif,Canon120-1,59.71233367919922
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_20.tif,EpsonV370-2,83.02215576171875
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_21.tif,Canon120-2,47.323974609375
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_22.tif,Canon120-1,52.142478942871094
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_23.tif,Canon120-1,50.80546569824219
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_24.tif,Canon120-1,55.34342575073242
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_25.tif,Canon120-1,46.499549865722656
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_26.tif,Canon120-2,51.919376373291016
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_27.tif,Canon120-2,54.07655334472656
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_28.tif,Canon120-1,90.6163558959961
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_29.tif,Canon120-2,53.930641174316406
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_3.tif,EpsonV370-2,79.83372497558594
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_30.tif,Canon120-1,47.667293548583984
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_31.tif,Canon120-2,51.38994598388672
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_32.tif,Canon120-1,40.49626922607422
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_33.tif,Canon120-2,48.313594818115234
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_34.tif,Canon120-2,61.27886962890625
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_35.tif,Canon120-2,58.81357955932617
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_36.tif,Canon120-2,60.277957916259766
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_37.tif,Canon220,88.24995422363281
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_38.tif,Canon120-2,50.09149932861328
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_39.tif,Canon120-2,52.228824615478516
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_4.tif,Canon120-2,49.91716766357422
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_40.tif,Canon120-1,77.75765991210938
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_41.tif,Canon120-2,55.830650329589844
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_42.tif,Canon120-2,58.54460525512695
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_43.tif,Canon120-2,57.34498596191406
C:\Users\ariji\Desktop\ai_trace\process_data\Wikipedia\Canon120-1\150\s1_44.tif,Canon120-1,49.49939727783203
