file_name,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density,error
150.tif,Canon120-1,1240,1752,0.708,6366.8,254.999,0.117,-484.987,358850.91,0.001,0,
300.tif,Canon120-1,2480,3508,0.707,25495.07,254.999,0.163,-395.407,278985.731,0.002,0,
150.tif,Canon120-2,2480,3508,0.707,25495.07,254.674,7.972,-25.891,684.618,0.027,0.001,
300.tif,Canon120-2,2480,3508,0.707,25495.07,254.672,7.991,-25.876,683.833,0.027,0.001,
150.tif,Canon220,1240,1752,0.708,6366.8,254.607,9.119,-23.834,573.541,0.023,0.001,
300.tif,Canon220,2480,3508,0.707,25495.07,254.643,8.699,-25.061,633.209,0.023,0,
150.tif,Canon9000-1,1240,1754,0.707,6374.08,254.212,12.642,-16.396,269.128,0.043,0.001,
300.tif,Canon9000-1,2480,3508,0.707,25495.07,254.277,12.16,-17.064,291.167,0.04,0,
150.tif,Canon9000-2,1240,1754,0.707,6374.08,254.998,0.507,-380.209,151579.438,0.001,0,
300.tif,Canon9000-2,2480,3508,0.707,25495.07,254.998,0.447,-421.479,188415.229,0.001,0,
150.tif,EpsonV370-1,1236,1754,0.705,6353.53,254.731,3.631,-28.63,959.494,0.248,0.001,
300.tif,EpsonV370-1,2480,3508,0.707,25495.07,254.74,3.351,-30.775,1129.003,0.258,0,
150.tif,EpsonV370-2,1236,1754,0.705,6353.53,254.737,3.519,-27.37,903.517,0.201,0.001,
300.tif,EpsonV370-2,2480,3508,0.707,25495.07,254.771,2.83,-30.809,1222.495,0.2,0,
._150.tif,EpsonV39-1,,,,,,,,,,,Unreadable file
150.tif,EpsonV39-1,1240,1754,0.707,6374.08,254.998,0.13,-164.557,38033.396,0.007,0,
300.tif,EpsonV39-1,2480,3508,0.707,25495.07,254.996,0.188,-126.401,21812.109,0.02,0,
150.tif,EpsonV39-2,1240,1754,0.707,6374.08,254.945,0.45,-58.476,9286.731,0.185,0,
300.tif,EpsonV39-2,2480,3508,0.707,25495.07,254.909,0.562,-59.426,10327.247,0.287,0,
150.tif,EpsonV550,1239,1754,0.706,6368.94,254.884,1.229,-13.352,276.281,0.11,0,
300.tif,EpsonV550,2478,3508,0.706,25474.52,254.881,1.253,-14.329,384.862,0.113,0,
150.tif,HP,1240,1743,0.711,6334.1,253.78,0.557,-1.331,22.814,0.801,0,
300.tif,HP,2480,3503,0.708,25458.73,252.446,0.763,-0.968,27.353,1.11,0,
